stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
261,261,Niemeńska/Czarnej Hańczy(261),,53.166022,23.222252,1,
020,020,Leśna Dolina/Pętla(020),,53.132613,23.086973,1,
263,263,Niemeńska/Wiślana(263),,53.164237,23.223100,1,
021,021,Leśna Dolina/Pętla(021),,53.132317,23.087395,1,
264,264,Niemeńska I (C)(264),,53.167542,23.221190,1,
022,022,Magnoliowa/al. Niepodległości(022),,53.119167,23.094719,1,
265,265,Niemeńska II (C)(265),,53.168845,23.213672,1,
1920,1920,Kuriany IV (K)(1920),,53.093410,23.254165,2,
023,023,Boboli/Cmentarz(023),,53.135462,23.083277,1,
024,024,Baranowicka/Plażowa(024),,53.123155,23.219113,1,
266,266,Wrocławska/Galeria Zielone Wzgórze(266),,53.126305,23.096950,1,
025,025,Ciołkowskiego/Wielkopolska(025),,53.122028,23.201610,1,
267,267,al. Niepodległości/Lawendowa(267),,53.117342,23.097022,1,
026,026,Baranowicka/Ciołkowskiego(026),,53.122142,23.204633,1,
268,268,al. Niepodległości/Wrocławska(268),,53.121529,23.090500,1,
027,027,Baranowicka/Sowlańska(027),,53.122423,23.209038,1,
028,028,Baranowicka/Gródecka(028),,53.122842,23.214285,1,
029,029,Baranowicka/Zaścianki(029),,53.124568,23.228618,1,
270,270,Miłosza/Kołodziejska(270),,53.122713,23.180442,1,
030,030,Niedźwiedzia/Wilcza(030),,53.116360,23.189075,1,
272,272,al. Niepodległości/Lawendowa(272),,53.117527,23.097534,1,
031,031,Baranowicka/Zaścianki(031),,53.124138,23.227005,1,
273,273,Niewodnicka/Pętla(273),,53.111788,23.080639,1,
032,032,Baranowicka/Plażowa(032),,53.123118,23.216917,1,
274,274,Niewodnicka/Spokojna(274),,53.112741,23.080521,1,
033,033,Baranowicka/Leśna(033),,53.122513,23.208303,1,
275,275,Sejneńska/Handlowa(275),,53.116638,23.116062,1,
276,276,Hurtowa(276),,53.115345,23.120397,1,
034,034,Sowlańska/Piaskowa(034),,53.120780,23.210373,1,
